avaliacoes,geracao,custo_melhor,custo_medio,custo_pior
11860,120,3428.6803,3573.1986,4890.9452
11958,121,3428.6803,3602.6564,4822.2500
12056,122,3428.6803,3629.0877,4908.9022
12154,123,3428.6803,3667.6865,5011.7751
12252,124,3428.6803,3703.7967,5943.0812
12350,125,3428.6803,3580.1596,4829.6089
12448,126,3428.6803,3617.3884,4749.4924
12546,127,3428.6803,3597.1644,5373.4926
12644,128,3428.6803,3561.8249,4967.2719
12742,129,3428.6803,3609.3347,4730.6652
12840,130,3428.6803,3629.8003,4727.5115
12938,131,3428.6803,3601.5230,4809.1532
13036,132,3428.6803,3650.0203,4890.9452
13134,133,3428.6803,3651.2601,4909.2203
13232,134,3428.6803,3598.3594,4823.1883
13330,135,3428.6803,3627.9268,4873.6302
13428,136,3428.6803,3639.2357,4809.1532
13526,137,3428.6803,3579.0504,5230.7585
13624,138,3428.6803,3558.6938,4890.9452
13722,139,3428.6803,3633.1940,4890.9452
13820,140,3428.6803,3579.9817,4749.4924
13918,141,3428.6803,3580.4763,5131.6721
14016,142,3428.6803,3591.4034,4829.6089
14114,143,3428.6803,3575.1215,4727.5115
14212,144,3428.6803,3569.8322,4634.8432
14310,145,3428.6803,3643.5436,4727.5115
14408,146,3428.6803,3657.2690,6089.3243
14506,147,3428.6803,3626.8307,5054.8741
14604,148,3428.6803,3599.2410,4967.2719
14702,149,3428.6803,3564.4583,5108.8031
14800,150,3428.6803,3596.4723,5349.1445
14898,151,3428.6803,3617.7527,4823.1883
14996,152,3428.6803,3600.1548,4873.6302
15094,153,3428.6803,3612.0535,4931.6384
15192,154,3428.6803,3643.4497,5011.7751
15290,155,3428.6803,3679.8066,5377.9485
15388,156,3428.6803,3595.3818,6221.0472
15486,157,3428.6803,3577.3511,4829.6089
15584,158,3428.6803,3634.2145,5094.0424
15682,159,3428.6803,3665.0595,6004.9216
15780,160,3428.6803,3577.0445,5004.9451
15878,161,3428.6803,3609.6225,4963.2699
15976,162,3428.6803,3621.2457,5021.2375
16074,163,3428.6803,3621.3057,5466.0519
16172,164,3428.6803,3629.5476,4967.2719
16270,165,3428.6803,3576.1426,5480.3113
16368,166,3428.6803,3543.2627,4819.5273
16466,167,3428.6803,3548.9558,5011.7751
16564,168,3428.6803,3529.2762,4873.6302
16662,169,3428.6803,3549.6274,4495.5951
16760,170,3428.6803,3587.5862,4819.5273
16858,171,3428.6803,3589.7768,4908.9022
16956,172,3428.6803,3596.7944,4809.1532
17054,173,3428.6803,3571.1005,5186.8831
17152,174,3428.6803,3600.8740,4780.7617
17250,175,3428.6803,3567.1774,4967.2719
17348,176,3428.6803,3577.6190,5047.1706
17446,177,3428.6803,3615.8933,4967.2719
17544,178,3428.6803,3573.0436,4676.3042
17642,179,3428.6803,3599.2059,6002.7270
17740,180,3428.6803,3650.1088,5011.7751
17838,181,3428.6803,3628.3337,4873.6302
17936,182,3428.6803,3586.5909,4967.2719
18034,183,3428.6803,3590.7284,5185.8952
18132,184,3428.6803,3570.4820,4809.1532
18230,185,3428.6803,3612.2005,4829.6089
18328,186,3428.6803,3643.6225,5011.7751
18426,187,3428.6803,3579.4673,4816.6974
18524,188,3428.6803,3586.8756,4570.8897
18622,189,3428.6803,3604.9133,4816.6974
18720,190,3428.6803,3675.4346,5132.3845
18818,191,3428.6803,3565.0695,4778.0091
18916,192,3428.6803,3573.0949,4780.7617
19014,193,3428.6803,3612.8737,5584.3698
19112,194,3428.6803,3613.4489,4873.6302
19210,195,3428.6803,3600.5813,6039.8259
19308,196,3428.6803,3563.4597,4873.6302
19406,197,3428.6803,3528.8833,4823.1883
19504,198,3428.6803,3571.3153,4890.9452
19602,199,3428.6803,3615.5229,5381.8745
19700,200,3428.6803,3492.2125,5011.7751
19798,201,3428.6803,3557.4546,4819.5273
19896,202,3428.6803,3546.5468,4650.3230
19994,203,3428.6803,3583.1541,4974.1149
20092,204,3428.6803,3531.1940,4740.9366
20190,205,3428.6803,3578.9953,4733.6839
20288,206,3428.6803,3596.2483,4658.7456
20386,207,3428.6803,3550.3094,4727.5115
20484,208,3428.6803,3554.6252,4890.9452
20582,209,3428.6803,3593.3740,5450.7661
20680,210,3428.6803,3653.8118,5004.7219
20778,211,3428.6803,3557.9041,4908.9022
