avaliacoes,iteracao,custo_melhor,custo_atual
101,0,11486.8637,11486.8637
601,500,7449.4329,9434.3695
1101,1000,7262.6079,10274.4478
1601,1500,7262.6079,9474.5468
2101,2000,7024.4325,9554.3599
2601,2500,7024.4325,8474.4400
3101,3000,7024.4325,10165.5164
3601,3500,6930.3316,10681.5981
4101,4000,6704.2508,11324.3842
4601,4500,6704.2508,10880.0404
5101,5000,6704.2508,11424.7498
5601,5500,6704.2508,9151.3794
6101,6000,6704.2508,8828.9128
6601,6500,6704.2508,9135.5252
7101,7000,6704.2508,9430.8708
7601,7500,6704.2508,9947.5072
8101,8000,6704.2508,9560.2431
8601,8500,6704.2508,10407.4218
9101,9000,6704.2508,10413.5103
9601,9500,6704.2508,10810.9542
10101,10000,6704.2508,8761.8883
10601,10500,6704.2508,9807.1582
11101,11000,6704.2508,10596.4161
11601,11500,6704.2508,9229.4893
12101,12000,6666.2557,9839.4835
12601,12500,6666.2557,9344.0984
13101,13000,6666.2557,10984.1810
13601,13500,6666.2557,10158.9414
14101,14000,6666.2557,9648.0447
14601,14500,6653.7816,7969.3286
15101,15000,6653.7816,9536.3719
15601,15500,6653.7816,10787.9872
16101,16000,6653.7816,10401.0372
16601,16500,6653.7816,9721.8154
17101,17000,6653.7816,10967.9744
17601,17500,6653.7816,9457.9511
18101,18000,6653.7816,9426.2552
18601,18500,6653.7816,9873.1430
19101,19000,6653.7816,9056.5125
19601,19500,6653.7816,8100.9153
20101,20000,6593.8985,9433.5715
20601,20500,6593.8985,10556.1206
21101,21000,6593.8985,9729.4305
21601,21500,6593.8985,10331.8024
22101,22000,6593.8985,10337.5524
22601,22500,6593.8985,7598.4978
23101,23000,6593.8985,9432.7582
23601,23500,6593.8985,9826.5724
24101,24000,6593.8985,9918.8804
24601,24500,6593.8985,10524.8245
25101,25000,6593.8985,10030.8024
25601,25500,6593.8985,9823.9756
26101,26000,6593.8985,9794.5116
26601,26500,6593.8985,8908.8592
27101,27000,6593.8985,9187.9917
27601,27500,6593.8985,10906.4587
28101,28000,6593.8985,9257.1200
28601,28500,6244.4148,8052.0335
29101,29000,5981.8034,11639.9507
29601,29500,5981.8034,8678.8683
30101,30000,5981.8034,10072.7328
30601,30500,5981.8034,10233.7077
31101,31000,5981.8034,7200.5609
31601,31500,5981.8034,8710.1648
32101,32000,5981.8034,10055.4897
32601,32500,5981.8034,6992.7312
33101,33000,5981.8034,10974.6876
33601,33500,5981.8034,8614.7423
34101,34000,5981.8034,7164.9643
34601,34500,5981.8034,9034.5093
35101,35000,5981.8034,10114.1487
35601,35500,5981.8034,8558.6187
36101,36000,5981.8034,8495.4654
36601,36500,5981.8034,9290.6532
37101,37000,5981.8034,9651.3464
37601,37500,5981.8034,9620.1360
38101,38000,5981.8034,7540.3541
38601,38500,5981.8034,9378.7635
39101,39000,5981.8034,9092.9793
39601,39500,5981.8034,8888.0483
40101,40000,5981.8034,7583.6786
40601,40500,5981.8034,9447.9453
41101,41000,5842.1245,8564.7063
41601,41500,5842.1245,10059.8210
42101,42000,5772.7486,9206.3932
42601,42500,5772.7486,8121.2722
43101,43000,5017.8613,6926.3908
43601,43500,5017.8613,8783.6796
44101,44000,5017.8613,7700.4719
44601,44500,5017.8613,8068.5211
45101,45000,5017.8613,7367.6959
45601,45500,5017.8613,8413.8844
46101,46000,5017.8613,9528.6006
46601,46500,5017.8613,8649.4782
47101,47000,5017.8613,8454.9325
47601,47500,5017.8613,7649.4834
48101,48000,5017.8613,7529.0134
48601,48500,5017.8613,7710.3484
49101,49000,5017.8613,6590.1114
49601,49500,5017.8613,7293.2583
50101,50000,5017.8613,8613.5792
50601,50500,5017.8613,6792.4090
51101,51000,5017.8613,6855.0461
51601,51500,5017.8613,8921.8587
52101,52000,5017.8613,8104.7768
52601,52500,5017.8613,7220.7492
53101,53000,5017.8613,8192.6585
53601,53500,5017.8613,8415.2101
54101,54000,5017.8613,8732.8498
54601,54500,5017.8613,7286.8029
55101,55000,5017.8613,5235.0904
55601,55500,5017.8613,8196.6523
56101,56000,5017.8613,8605.6531
56601,56500,5017.8613,6596.4721
57101,57000,5017.8613,8601.8497
57601,57500,5017.8613,9926.7906
58101,58000,5017.8613,10376.1680
58601,58500,5017.8613,7062.7654
59101,59000,5017.8613,7021.0505
59601,59500,5017.8613,7924.1573
60101,60000,5017.8613,7779.7498
60601,60500,5017.8613,6824.9241
61101,61000,5017.8613,7101.9391
61601,61500,4751.1218,7766.6792
62101,62000,4751.1218,6571.6976
62601,62500,4751.1218,7095.0032
63101,63000,4751.1218,6013.0554
63601,63500,4751.1218,6202.4629
64101,64000,4751.1218,7121.3012
64601,64500,4751.1218,6902.2835
65101,65000,4751.1218,6484.0099
65601,65500,4751.1218,7087.5078
66101,66000,4751.1218,7973.1584
66601,66500,4751.1218,7402.2434
67101,67000,4751.1218,7060.1354
67601,67500,4751.1218,5891.0482
68101,68000,4751.1218,6429.0876
68601,68500,4751.1218,6457.8299
69101,69000,4751.1218,7808.6785
69601,69500,4751.1218,7677.1783
70101,70000,4751.1218,7694.4649
70601,70500,4751.1218,5928.1345
71101,71000,4751.1218,6081.0749
71601,71500,4751.1218,6575.6793
72101,72000,4751.1218,6351.2359
72601,72500,4751.1218,6108.2842
73101,73000,4751.1218,5357.5714
73601,73500,4751.1218,7392.1528
74101,74000,4751.1218,6561.8362
74601,74500,4751.1218,6679.4819
75101,75000,4751.1218,4948.8890
75601,75500,4610.3581,5795.4349
76101,76000,4610.3581,6758.2526
76601,76500,4610.3581,5802.6406
77101,77000,4610.3581,6398.9284
77601,77500,4610.3581,6187.1223
78101,78000,4610.3581,5791.1465
78601,78500,3989.9297,6033.5002
79101,79000,3989.9297,4674.5989
79601,79500,3989.9297,6842.4477
80101,80000,3989.9297,5324.5020
80601,80500,3989.9297,7929.5046
81101,81000,3989.9297,6074.5595
81601,81500,3989.9297,6007.6872
82101,82000,3989.9297,5996.0177
82601,82500,3989.9297,4199.9046
83101,83000,3455.1472,4947.9980
83601,83500,3455.1472,6077.4836
84101,84000,3455.1472,5640.6332
84601,84500,3455.1472,5801.3959
85101,85000,3455.1472,6460.7331
85601,85500,3455.1472,5136.7304
86101,86000,3455.1472,5746.4975
86601,86500,3455.1472,5668.4788
87101,87000,3455.1472,4409.1930
87601,87500,3455.1472,5757.1577
88101,88000,3455.1472,5129.4363
88601,88500,3455.1472,8600.4496
89101,89000,3455.1472,4860.3692
89601,89500,3455.1472,4313.9569
90101,90000,3455.1472,5880.1939
90601,90500,3455.1472,5134.3246
91101,91000,3455.1472,4081.3511
91601,91500,3448.5645,3879.3629
92101,92000,3448.5645,4739.3292
92601,92500,3448.5645,4677.1090
93101,93000,3448.5645,5672.7393
93601,93500,3448.5645,5762.7040
94101,94000,3448.5645,6092.1598
94601,94500,3448.5645,4132.8102
95101,95000,3448.5645,4806.9641
95601,95500,3448.5645,4547.1341
96101,96000,3448.5645,3873.1109
96601,96500,3448.5645,4223.7187
97101,97000,3448.5645,4216.5375
97601,97500,3448.5645,4975.3154
98101,98000,3448.5645,5431.6141
98601,98500,3448.5645,4553.8983
99101,99000,3415.7833,3588.6587
99601,99500,3415.7833,4285.3140
100101,100000,3415.7833,4039.8450
100601,100500,3415.7833,4944.3491
101101,101000,3415.7833,4039.8875
101601,101500,3415.7833,5090.0862
102101,102000,3415.7833,4414.9922
102601,102500,3415.7833,4123.4053
103101,103000,3415.7833,4708.2475
103601,103500,3415.7833,4703.1696
104101,104000,3415.7833,3586.3035
104601,104500,3415.7833,3621.5122
105101,105000,3415.7833,4729.7524
105601,105500,3415.7833,4213.7182
106101,106000,3415.7833,3610.9772
106601,106500,3415.7833,3584.5605
107101,107000,3415.7833,3912.1865
107601,107500,3415.7833,3953.3196
108101,108000,3415.7833,4486.4951
108601,108500,3415.7833,4414.2781
109101,109000,3415.7833,4160.6443
109601,109500,3415.7833,3646.2385
110101,110000,3415.7833,4516.5792
110601,110500,3415.7833,4349.4970
111101,111000,3415.7833,4412.4317
111601,111500,3415.7833,3489.6355
112101,112000,3415.7833,3645.4655
112601,112500,3415.7833,3766.1661
113101,113000,3415.7833,3868.2149
113601,113500,3415.7833,3781.7874
114101,114000,3415.7833,4078.6086
114601,114500,3415.7833,4027.9845
115101,115000,3415.7833,3931.0248
115601,115500,3415.7833,3701.9008
116101,116000,3415.7833,3731.6981
116601,116500,3415.7833,3831.4876
117101,117000,3415.7833,3699.7020
117601,117500,3415.7833,3917.4172
118101,118000,3415.7833,3747.0704
118601,118500,3415.7833,3780.6419
119101,119000,3415.7833,3722.3966
119601,119500,3415.7833,3865.7755
120101,120000,3415.7833,3691.5297
120601,120500,3415.7833,3629.2633
121101,121000,3415.7833,3466.7982
121601,121500,3415.7833,3692.9748
122101,122000,3415.7833,3967.6825
122601,122500,3415.7833,3690.8917
123101,123000,3415.7833,3428.6803
123601,123500,3415.7833,3428.6803
124101,124000,3415.7833,3569.6693
124601,124500,3415.7833,3517.9388
125101,125000,3415.7833,3725.2674
125601,125500,3415.7833,3415.7833
126101,126000,3415.7833,3455.1472
126601,126500,3415.7833,3461.4615
127101,127000,3415.7833,3533.5874
127601,127500,3415.7833,3656.3933
128101,128000,3415.7833,3527.7534
128601,128500,3415.7833,3428.6803
129101,129000,3415.7833,3415.7833
129601,129500,3415.7833,3455.1472
130101,130000,3415.7833,3726.8582
130601,130500,3415.7833,3565.5478
131101,131000,3415.7833,3514.4112
