avaliacoes_fim_intervalo,fracao_pioras_aceitas
601,0.780220
1101,0.785714
1601,0.818519
2101,0.740351
2601,0.726351
3101,0.758865
3601,0.762774
4101,0.759124
4601,0.746528
5101,0.778182
5601,0.759717
6101,0.738351
6601,0.777385
7101,0.758741
7601,0.755396
8101,0.843636
8601,0.770833
9101,0.762590
9601,0.771127
10101,0.757679
10601,0.726644
11101,0.761029
11601,0.677656
12101,0.665493
12601,0.717770
13101,0.659933
13601,0.767677
14101,0.662252
14601,0.707317
15101,0.665552
15601,0.734317
16101,0.702703
16601,0.683871
17101,0.712871
17601,0.708609
18101,0.646667
18601,0.668942
19101,0.672185
19601,0.710000
20101,0.676768
20601,0.630719
21101,0.650350
21601,0.636364
22101,0.701342
22601,0.678571
23101,0.608247
23601,0.685512
24101,0.698305
24601,0.606557
25101,0.604096
25601,0.580442
26101,0.607843
26601,0.584906
27101,0.686207
27601,0.600639
28101,0.573718
28601,0.580000
29101,0.526627
29601,0.558065
30101,0.571429
30601,0.626623
31101,0.576220
31601,0.577778
32101,0.628205
32601,0.546584
33101,0.541916
33601,0.543478
34101,0.607973
34601,0.560748
35101,0.578431
35601,0.552632
36101,0.575080
36601,0.501511
37101,0.527778
37601,0.565079
38101,0.503030
38601,0.550459
39101,0.581699
39601,0.501493
40101,0.560897
40601,0.501520
41101,0.467647
41601,0.514706
42101,0.482036
42601,0.518519
43101,0.434018
43601,0.466463
44101,0.455357
44601,0.421053
45101,0.454023
45601,0.492625
46101,0.510638
46601,0.446686
47101,0.438746
47601,0.536585
48101,0.390313
48601,0.407514
49101,0.459302
49601,0.383978
50101,0.400560
50601,0.402299
51101,0.460870
51601,0.390173
52101,0.450142
52601,0.425770
53101,0.379888
53601,0.349462
54101,0.400000
54601,0.382682
55101,0.316216
55601,0.390935
56101,0.327913
56601,0.293194
57101,0.406685
57601,0.367403
58101,0.418079
58601,0.305405
59101,0.309524
59601,0.347826
60101,0.366848
60601,0.295337
61101,0.286458
61601,0.269634
62101,0.296588
62601,0.338753
63101,0.261658
63601,0.307888
64101,0.309711
64601,0.288360
65101,0.262338
65601,0.269327
66101,0.291005
66601,0.269634
67101,0.307888
67601,0.251889
68101,0.231738
68601,0.240196
69101,0.249383
69601,0.211165
70101,0.253807
70601,0.200501
71101,0.218750
71601,0.278061
72101,0.254408
72601,0.246305
73101,0.190821
73601,0.225064
74101,0.218830
74601,0.200477
75101,0.204327
75601,0.167053
76101,0.173397
76601,0.176887
77101,0.186441
77601,0.189320
78101,0.175481
78601,0.113333
79101,0.142202
79601,0.156909
80101,0.193925
80601,0.193317
81101,0.164678
81601,0.145161
82101,0.156909
82601,0.135011
83101,0.069717
83601,0.124153
84101,0.141176
84601,0.139908
85101,0.125285
85601,0.112613
86101,0.147126
86601,0.134434
87101,0.097065
87601,0.107062
88101,0.116438
88601,0.132450
89101,0.139480
89601,0.081498
90101,0.089520
90601,0.103753
91101,0.048936
91601,0.053533
92101,0.063966
92601,0.120181
93101,0.091904
93601,0.094505
94101,0.115556
94601,0.073826
95101,0.044681
95601,0.060345
96101,0.058952
96601,0.057692
97101,0.052966
97601,0.074468
98101,0.083151
98601,0.081858
99101,0.036093
99601,0.044681
100101,0.044492
100601,0.062232
101101,0.058442
101601,0.056156
102101,0.071584
102601,0.044681
103101,0.055556
103601,0.044118
104101,0.033613
104601,0.025105
105101,0.044397
105601,0.048218
106101,0.042644
106601,0.029167
107101,0.037657
107601,0.031056
108101,0.035565
108601,0.055794
109101,0.037657
109601,0.022587
110101,0.031120
110601,0.042373
111101,0.041841
111601,0.029598
112101,0.037657
112601,0.026860
113101,0.026804
113601,0.031447
114101,0.030928
114601,0.027311
115101,0.022774
115601,0.022869
116101,0.016701
116601,0.032720
117101,0.033827
117601,0.031185
118101,0.035270
118601,0.029167
119101,0.026749
119601,0.018293
120101,0.029598
120601,0.016529
121101,0.024691
121601,0.018557
122101,0.018672
122601,0.031646
123101,0.021008
123601,0.016563
124101,0.016194
124601,0.027197
125101,0.018672
125601,0.016807
126101,0.012270
126601,0.014493
127101,0.020367
127601,0.024490
128101,0.018405
128601,0.006148
129101,0.020576
129601,0.010288
130101,0.022869
130601,0.022917
131101,0.012422
131601,0.016427
132101,0.014433
132601,0.008147
133101,0.010288
133601,0.012195
134101,0.014374
