avaliacoes,iteracao,temperatura
101,0,1425.36
601,500,1425.36
1101,1000,1425.36
1601,1500,1425.36
2101,2000,1354.1
2601,2500,1354.1
3101,3000,1354.1
3601,3500,1354.1
4101,4000,1286.39
4601,4500,1286.39
5101,5000,1286.39
5601,5500,1286.39
6101,6000,1222.07
6601,6500,1222.07
7101,7000,1222.07
7601,7500,1222.07
8101,8000,1160.97
8601,8500,1160.97
9101,9000,1160.97
9601,9500,1160.97
10101,10000,1102.92
10601,10500,1102.92
11101,11000,1102.92
11601,11500,1102.92
12101,12000,1047.77
12601,12500,1047.77
13101,13000,1047.77
13601,13500,1047.77
14101,14000,995.385
14601,14500,995.385
15101,15000,995.385
15601,15500,995.385
16101,16000,945.616
16601,16500,945.616
17101,17000,945.616
17601,17500,945.616
18101,18000,898.335
18601,18500,898.335
19101,19000,898.335
19601,19500,898.335
20101,20000,853.419
20601,20500,853.419
21101,21000,853.419
21601,21500,853.419
22101,22000,810.748
22601,22500,810.748
23101,23000,810.748
23601,23500,810.748
24101,24000,770.21
24601,24500,770.21
25101,25000,770.21
25601,25500,770.21
26101,26000,731.7
26601,26500,731.7
27101,27000,731.7
27601,27500,731.7
28101,28000,695.115
28601,28500,695.115
29101,29000,695.115
29601,29500,695.115
30101,30000,660.359
30601,30500,660.359
31101,31000,660.359
31601,31500,660.359
32101,32000,627.341
32601,32500,627.341
33101,33000,627.341
33601,33500,627.341
34101,34000,595.974
34601,34500,595.974
35101,35000,595.974
35601,35500,595.974
36101,36000,566.175
36601,36500,566.175
37101,37000,566.175
37601,37500,566.175
38101,38000,537.867
38601,38500,537.867
39101,39000,537.867
39601,39500,537.867
40101,40000,510.973
40601,40500,510.973
41101,41000,510.973
41601,41500,510.973
42101,42000,485.425
42601,42500,485.425
43101,43000,485.425
43601,43500,485.425
44101,44000,461.153
44601,44500,461.153
45101,45000,461.153
45601,45500,461.153
46101,46000,438.096
46601,46500,438.096
47101,47000,438.096
47601,47500,438.096
48101,48000,416.191
48601,48500,416.191
49101,49000,416.191
49601,49500,416.191
50101,50000,395.381
50601,50500,395.381
51101,51000,395.381
51601,51500,395.381
52101,52000,375.612
52601,52500,375.612
53101,53000,375.612
53601,53500,375.612
54101,54000,356.832
54601,54500,356.832
55101,55000,356.832
55601,55500,356.832
56101,56000,338.99
56601,56500,338.99
57101,57000,338.99
57601,57500,338.99
58101,58000,322.041
58601,58500,322.041
59101,59000,322.041
59601,59500,322.041
60101,60000,305.939
60601,60500,305.939
61101,61000,305.939
61601,61500,305.939
62101,62000,290.642
62601,62500,290.642
63101,63000,290.642
63601,63500,290.642
64101,64000,276.11
64601,64500,276.11
65101,65000,276.11
65601,65500,276.11
66101,66000,262.304
66601,66500,262.304
67101,67000,262.304
67601,67500,262.304
68101,68000,249.189
68601,68500,249.189
69101,69000,249.189
69601,69500,249.189
70101,70000,236.729
70601,70500,236.729
71101,71000,236.729
71601,71500,236.729
72101,72000,224.893
72601,72500,224.893
73101,73000,224.893
73601,73500,224.893
74101,74000,213.648
74601,74500,213.648
75101,75000,213.648
75601,75500,213.648
76101,76000,202.966
76601,76500,202.966
77101,77000,202.966
77601,77500,202.966
78101,78000,192.818
78601,78500,192.818
79101,79000,192.818
79601,79500,192.818
80101,80000,183.177
80601,80500,183.177
81101,81000,183.177
81601,81500,183.177
82101,82000,174.018
82601,82500,174.018
83101,83000,174.018
83601,83500,174.018
84101,84000,165.317
84601,84500,165.317
85101,85000,165.317
85601,85500,165.317
86101,86000,157.051
86601,86500,157.051
87101,87000,157.051
87601,87500,157.051
88101,88000,149.199
88601,88500,149.199
89101,89000,149.199
89601,89500,149.199
90101,90000,141.739
90601,90500,141.739
91101,91000,141.739
91601,91500,141.739
92101,92000,134.652
92601,92500,134.652
93101,93000,134.652
93601,93500,134.652
94101,94000,127.919
94601,94500,127.919
95101,95000,127.919
95601,95500,127.919
96101,96000,121.523
96601,96500,121.523
97101,97000,121.523
97601,97500,121.523
98101,98000,115.447
98601,98500,115.447
99101,99000,115.447
99601,99500,115.447
100101,100000,109.675
100601,100500,109.675
101101,101000,109.675
101601,101500,109.675
102101,102000,104.191
102601,102500,104.191
103101,103000,104.191
103601,103500,104.191
104101,104000,98.9814
104601,104500,98.9814
105101,105000,98.9814
105601,105500,98.9814
106101,106000,94.0323
106601,106500,94.0323
107101,107000,94.0323
107601,107500,94.0323
108101,108000,89.3307
108601,108500,89.3307
109101,109000,89.3307
109601,109500,89.3307
110101,110000,84.8642
110601,110500,84.8642
111101,111000,84.8642
111601,111500,84.8642
112101,112000,80.621
112601,112500,80.621
113101,113000,80.621
113601,113500,80.621
114101,114000,76.5899
114601,114500,76.5899
115101,115000,76.5899
115601,115500,76.5899
116101,116000,72.7604
116601,116500,72.7604
117101,117000,72.7604
117601,117500,72.7604
118101,118000,69.1224
118601,118500,69.1224
119101,119000,69.1224
119601,119500,69.1224
120101,120000,65.6663
120601,120500,65.6663
121101,121000,65.6663
121601,121500,65.6663
122101,122000,62.383
122601,122500,62.383
123101,123000,62.383
123601,123500,62.383
124101,124000,59.2638
124601,124500,59.2638
125101,125000,59.2638
125601,125500,59.2638
126101,126000,56.3006
126601,126500,56.3006
127101,127000,56.3006
127601,127500,56.3006
128101,128000,53.4856
128601,128500,53.4856
129101,129000,53.4856
129601,129500,53.4856
130101,130000,50.8113
130601,130500,50.8113
131101,131000,50.8113
131601,131500,50.8113
132101,132000,48.2707
132601,132500,48.2707
133101,133000,48.2707
133601,133500,48.2707
134101,134000,45.8572
