avaliacoes,iteracao,custo_melhor,custo_medio
100,0,8485.5298,10878.2606
198,1,7433.7822,10140.4335
296,2,6915.1912,9674.8808
394,3,6032.9092,9101.6250
492,4,6032.9092,8628.4902
590,5,4941.5781,8241.9288
688,6,4941.5781,7988.8027
786,7,4941.5781,7598.6910
884,8,4941.5781,7331.8463
982,9,4941.5781,7052.7154
1080,10,4941.5781,6955.1524
1178,11,4941.5781,6667.6041
1276,12,4941.5781,6570.0761
1374,13,4941.5781,6438.6277
1472,14,4941.5781,6446.2908
1570,15,4941.5781,6521.8875
1668,16,4941.5781,6652.3212
1766,17,4941.5781,6547.8098
1864,18,4933.3729,6288.6185
1962,19,4933.3729,6254.6435
2060,20,4813.2872,6104.1088
2158,21,4813.2872,5873.4334
2256,22,4813.2872,5610.4157
2354,23,4693.3497,5516.2212
2452,24,4693.3497,5524.6682
2550,25,4693.3497,5527.1920
2648,26,4581.2696,5486.0837
2746,27,4581.2696,5369.3379
2844,28,4479.9480,5377.9227
2942,29,4458.6428,5402.3459
3040,30,4458.6428,5556.0170
3138,31,4340.8616,5542.4720
3236,32,4340.8616,5671.4299
3334,33,4340.8616,5693.4315
3432,34,4079.3818,5616.5434
3530,35,4079.3818,5590.0190
3628,36,4079.3818,5429.4002
3726,37,4079.3818,5414.9239
3824,38,4079.3818,5334.5393
3922,39,4079.3818,5361.8100
4020,40,4030.3519,5390.2325
4118,41,3635.5754,5362.5427
4216,42,3635.5754,5329.9724
4314,43,3635.5754,5127.6954
4412,44,3635.5754,4860.4116
4510,45,3584.5605,4693.9162
4608,46,3559.8868,4459.0891
4706,47,3455.1472,4273.7753
4804,48,3455.1472,3948.3186
4902,49,3455.1472,3783.5180
5000,50,3455.1472,3763.2508
5098,51,3455.1472,3736.9251
5196,52,3455.1472,3731.2070
5294,53,3455.1472,3710.0069
5392,54,3455.1472,3701.0404
5490,55,3455.1472,3569.6530
5588,56,3455.1472,3660.4919
5686,57,3455.1472,3625.1195
