avaliacoes,iteracao,temperatura
101,0,1485.89
601,500,1485.89
1101,1000,1485.89
1601,1500,1485.89
2101,2000,1485.89
2601,2500,1485.89
3101,3000,1485.89
3601,3500,1485.89
4101,4000,1485.89
4601,4500,1485.89
5101,5000,1411.6
5601,5500,1411.6
6101,6000,1411.6
6601,6500,1411.6
7101,7000,1411.6
7601,7500,1411.6
8101,8000,1411.6
8601,8500,1411.6
9101,9000,1411.6
9601,9500,1411.6
10101,10000,1341.02
10601,10500,1341.02
11101,11000,1341.02
11601,11500,1341.02
12101,12000,1341.02
12601,12500,1341.02
13101,13000,1341.02
13601,13500,1341.02
14101,14000,1341.02
14601,14500,1341.02
15101,15000,1273.96
15601,15500,1273.96
16101,16000,1273.96
16601,16500,1273.96
17101,17000,1273.96
17601,17500,1273.96
18101,18000,1273.96
18601,18500,1273.96
19101,19000,1273.96
19601,19500,1273.96
20101,20000,1210.27
20601,20500,1210.27
21101,21000,1210.27
21601,21500,1210.27
22101,22000,1210.27
22601,22500,1210.27
23101,23000,1210.27
23601,23500,1210.27
24101,24000,1210.27
24601,24500,1210.27
25101,25000,1149.75
25601,25500,1149.75
26101,26000,1149.75
26601,26500,1149.75
27101,27000,1149.75
27601,27500,1149.75
28101,28000,1149.75
28601,28500,1149.75
29101,29000,1149.75
29601,29500,1149.75
30101,30000,1092.27
30601,30500,1092.27
31101,31000,1092.27
31601,31500,1092.27
32101,32000,1092.27
32601,32500,1092.27
33101,33000,1092.27
33601,33500,1092.27
34101,34000,1092.27
34601,34500,1092.27
35101,35000,1037.65
35601,35500,1037.65
36101,36000,1037.65
36601,36500,1037.65
37101,37000,1037.65
37601,37500,1037.65
38101,38000,1037.65
38601,38500,1037.65
39101,39000,1037.65
39601,39500,1037.65
40101,40000,985.77
40601,40500,985.77
41101,41000,985.77
41601,41500,985.77
42101,42000,985.77
42601,42500,985.77
43101,43000,985.77
43601,43500,985.77
44101,44000,985.77
44601,44500,985.77
45101,45000,936.481
45601,45500,936.481
46101,46000,936.481
46601,46500,936.481
47101,47000,936.481
47601,47500,936.481
48101,48000,936.481
48601,48500,936.481
49101,49000,936.481
49601,49500,936.481
50101,50000,889.657
50601,50500,889.657
51101,51000,889.657
51601,51500,889.657
52101,52000,889.657
52601,52500,889.657
53101,53000,889.657
53601,53500,889.657
54101,54000,889.657
54601,54500,889.657
55101,55000,845.174
55601,55500,845.174
56101,56000,845.174
56601,56500,845.174
57101,57000,845.174
57601,57500,845.174
58101,58000,845.174
58601,58500,845.174
59101,59000,845.174
59601,59500,845.174
60101,60000,802.915
60601,60500,802.915
61101,61000,802.915
61601,61500,802.915
62101,62000,802.915
62601,62500,802.915
63101,63000,802.915
63601,63500,802.915
64101,64000,802.915
64601,64500,802.915
65101,65000,762.77
65601,65500,762.77
66101,66000,762.77
66601,66500,762.77
67101,67000,762.77
67601,67500,762.77
68101,68000,762.77
68601,68500,762.77
69101,69000,762.77
69601,69500,762.77
70101,70000,724.631
70601,70500,724.631
71101,71000,724.631
71601,71500,724.631
72101,72000,724.631
72601,72500,724.631
73101,73000,724.631
73601,73500,724.631
74101,74000,724.631
74601,74500,724.631
75101,75000,688.4
75601,75500,688.4
76101,76000,688.4
76601,76500,688.4
77101,77000,688.4
77601,77500,688.4
78101,78000,688.4
78601,78500,688.4
79101,79000,688.4
79601,79500,688.4
80101,80000,653.98
80601,80500,653.98
81101,81000,653.98
81601,81500,653.98
82101,82000,653.98
82601,82500,653.98
83101,83000,653.98
83601,83500,653.98
84101,84000,653.98
84601,84500,653.98
85101,85000,621.281
85601,85500,621.281
86101,86000,621.281
86601,86500,621.281
87101,87000,621.281
87601,87500,621.281
88101,88000,621.281
88601,88500,621.281
89101,89000,621.281
89601,89500,621.281
90101,90000,590.217
90601,90500,590.217
91101,91000,590.217
91601,91500,590.217
92101,92000,590.217
92601,92500,590.217
93101,93000,590.217
93601,93500,590.217
94101,94000,590.217
94601,94500,590.217
95101,95000,560.706
95601,95500,560.706
96101,96000,560.706
96601,96500,560.706
97101,97000,560.706
97601,97500,560.706
98101,98000,560.706
98601,98500,560.706
99101,99000,560.706
99601,99500,560.706
100101,100000,532.671
100601,100500,532.671
101101,101000,532.671
101601,101500,532.671
102101,102000,532.671
102601,102500,532.671
103101,103000,532.671
103601,103500,532.671
104101,104000,532.671
104601,104500,532.671
105101,105000,506.037
105601,105500,506.037
106101,106000,506.037
106601,106500,506.037
107101,107000,506.037
107601,107500,506.037
108101,108000,506.037
108601,108500,506.037
109101,109000,506.037
109601,109500,506.037
110101,110000,480.735
110601,110500,480.735
111101,111000,480.735
111601,111500,480.735
112101,112000,480.735
112601,112500,480.735
113101,113000,480.735
113601,113500,480.735
114101,114000,480.735
114601,114500,480.735
115101,115000,456.698
115601,115500,456.698
116101,116000,456.698
116601,116500,456.698
117101,117000,456.698
117601,117500,456.698
118101,118000,456.698
118601,118500,456.698
119101,119000,456.698
119601,119500,456.698
120101,120000,433.863
120601,120500,433.863
121101,121000,433.863
121601,121500,433.863
122101,122000,433.863
122601,122500,433.863
123101,123000,433.863
123601,123500,433.863
124101,124000,433.863
124601,124500,433.863
125101,125000,412.17
125601,125500,412.17
126101,126000,412.17
126601,126500,412.17
127101,127000,412.17
127601,127500,412.17
128101,128000,412.17
128601,128500,412.17
129101,129000,412.17
129601,129500,412.17
130101,130000,391.562
130601,130500,391.562
131101,131000,391.562
131601,131500,391.562
132101,132000,391.562
132601,132500,391.562
133101,133000,391.562
133601,133500,391.562
134101,134000,391.562
134601,134500,391.562
135101,135000,371.984
135601,135500,371.984
136101,136000,371.984
136601,136500,371.984
137101,137000,371.984
137601,137500,371.984
138101,138000,371.984
138601,138500,371.984
139101,139000,371.984
139601,139500,371.984
140101,140000,353.385
140601,140500,353.385
141101,141000,353.385
141601,141500,353.385
142101,142000,353.385
142601,142500,353.385
143101,143000,353.385
143601,143500,353.385
144101,144000,353.385
144601,144500,353.385
145101,145000,335.715
145601,145500,335.715
146101,146000,335.715
146601,146500,335.715
147101,147000,335.715
147601,147500,335.715
148101,148000,335.715
148601,148500,335.715
149101,149000,335.715
149601,149500,335.715
150101,150000,318.93
150601,150500,318.93
151101,151000,318.93
151601,151500,318.93
152101,152000,318.93
152601,152500,318.93
153101,153000,318.93
153601,153500,318.93
154101,154000,318.93
154601,154500,318.93
155101,155000,302.983
155601,155500,302.983
156101,156000,302.983
156601,156500,302.983
157101,157000,302.983
157601,157500,302.983
158101,158000,302.983
158601,158500,302.983
159101,159000,302.983
159601,159500,302.983
160101,160000,287.834
160601,160500,287.834
161101,161000,287.834
161601,161500,287.834
162101,162000,287.834
162601,162500,287.834
163101,163000,287.834
163601,163500,287.834
164101,164000,287.834
164601,164500,287.834
165101,165000,273.442
165601,165500,273.442
166101,166000,273.442
166601,166500,273.442
167101,167000,273.442
167601,167500,273.442
168101,168000,273.442
168601,168500,273.442
169101,169000,273.442
169601,169500,273.442
170101,170000,259.77
170601,170500,259.77
171101,171000,259.77
171601,171500,259.77
172101,172000,259.77
172601,172500,259.77
173101,173000,259.77
173601,173500,259.77
174101,174000,259.77
174601,174500,259.77
175101,175000,246.782
175601,175500,246.782
176101,176000,246.782
176601,176500,246.782
177101,177000,246.782
177601,177500,246.782
178101,178000,246.782
178601,178500,246.782
179101,179000,246.782
179601,179500,246.782
180101,180000,234.442
180601,180500,234.442
181101,181000,234.442
181601,181500,234.442
182101,182000,234.442
182601,182500,234.442
183101,183000,234.442
183601,183500,234.442
184101,184000,234.442
184601,184500,234.442
185101,185000,222.72
185601,185500,222.72
186101,186000,222.72
186601,186500,222.72
187101,187000,222.72
187601,187500,222.72
188101,188000,222.72
188601,188500,222.72
189101,189000,222.72
189601,189500,222.72
190101,190000,211.584
190601,190500,211.584
191101,191000,211.584
191601,191500,211.584
192101,192000,211.584
192601,192500,211.584
193101,193000,211.584
193601,193500,211.584
194101,194000,211.584
194601,194500,211.584
195101,195000,201.005
195601,195500,201.005
196101,196000,201.005
196601,196500,201.005
197101,197000,201.005
197601,197500,201.005
198101,198000,201.005
198601,198500,201.005
199101,199000,201.005
199601,199500,201.005
200101,200000,190.955
200601,200500,190.955
201101,201000,190.955
201601,201500,190.955
202101,202000,190.955
202601,202500,190.955
203101,203000,190.955
203601,203500,190.955
204101,204000,190.955
204601,204500,190.955
205101,205000,181.407
205601,205500,181.407
206101,206000,181.407
206601,206500,181.407
207101,207000,181.407
207601,207500,181.407
208101,208000,181.407
208601,208500,181.407
209101,209000,181.407
209601,209500,181.407
210101,210000,172.337
210601,210500,172.337
211101,211000,172.337
211601,211500,172.337
212101,212000,172.337
212601,212500,172.337
213101,213000,172.337
213601,213500,172.337
214101,214000,172.337
214601,214500,172.337
215101,215000,163.72
215601,215500,163.72
216101,216000,163.72
216601,216500,163.72
217101,217000,163.72
217601,217500,163.72
218101,218000,163.72
218601,218500,163.72
219101,219000,163.72
219601,219500,163.72
220101,220000,155.534
220601,220500,155.534
221101,221000,155.534
221601,221500,155.534
222101,222000,155.534
222601,222500,155.534
223101,223000,155.534
223601,223500,155.534
224101,224000,155.534
224601,224500,155.534
225101,225000,147.757
225601,225500,147.757
226101,226000,147.757
226601,226500,147.757
227101,227000,147.757
227601,227500,147.757
228101,228000,147.757
228601,228500,147.757
229101,229000,147.757
229601,229500,147.757
230101,230000,140.369
230601,230500,140.369
231101,231000,140.369
231601,231500,140.369
232101,232000,140.369
232601,232500,140.369
233101,233000,140.369
233601,233500,140.369
234101,234000,140.369
234601,234500,140.369
235101,235000,133.351
235601,235500,133.351
236101,236000,133.351
236601,236500,133.351
237101,237000,133.351
237601,237500,133.351
238101,238000,133.351
238601,238500,133.351
239101,239000,133.351
239601,239500,133.351
240101,240000,126.683
240601,240500,126.683
241101,241000,126.683
241601,241500,126.683
242101,242000,126.683
242601,242500,126.683
243101,243000,126.683
243601,243500,126.683
244101,244000,126.683
244601,244500,126.683
245101,245000,120.349
245601,245500,120.349
246101,246000,120.349
246601,246500,120.349
