avaliacoes,iteracao,custo_melhor,custo_medio
100,0,21423.6534,25150.4301
198,1,20532.8725,24122.3665
296,2,20527.8634,23311.7690
394,3,20477.6202,22724.4996
492,4,19934.6130,22331.6609
590,5,19308.1034,22045.0023
688,6,18244.2325,21464.5521
786,7,18244.2325,20788.6263
884,8,17492.1505,20351.9370
982,9,17251.8266,19960.9599
1080,10,17251.8266,19554.1743
1178,11,17251.8266,19131.8283
1276,12,17251.8266,19029.2010
1374,13,17059.5181,18812.9417
1472,14,17001.8086,18560.4798
1570,15,16734.3876,18469.3723
1668,16,16722.0474,18186.9747
1766,17,15630.9524,18004.8003
1864,18,15630.9524,17691.6666
1962,19,15431.5399,17368.5843
2060,20,14952.9724,16979.5348
2158,21,14850.0399,16732.0042
2256,22,14817.4946,16530.9550
2354,23,14033.4193,16418.5739
2452,24,14033.4193,16101.7381
2550,25,14033.4193,15934.4875
2648,26,13875.4132,15530.5966
2746,27,13453.8497,15198.8295
2844,28,13321.8722,15112.7419
2942,29,13239.4758,15109.4341
3040,30,13239.4758,14941.1765
3138,31,13221.8707,14832.0165
3236,32,13221.8707,14597.8943
3334,33,13061.5856,14672.9693
3432,34,12954.0010,14558.9530
3530,35,12868.0320,14483.4500
3628,36,12868.0320,14403.2336
3726,37,12868.0320,14343.3146
3824,38,12563.5512,14335.4039
3922,39,12434.4790,14286.8360
4020,40,12434.4790,14186.7763
4118,41,12401.1691,13993.2280
4216,42,12042.3152,13960.4051
4314,43,12042.3152,13800.4436
4412,44,11940.2730,13703.4964
4510,45,11938.8542,13335.9758
4608,46,11887.5036,13204.8518
4706,47,11647.4077,13319.5906
4804,48,11647.4077,13359.3720
4902,49,11647.4077,13175.9489
5000,50,11575.7918,12886.1211
5098,51,11499.4778,12655.2376
5196,52,11234.0520,12613.4734
5294,53,11092.5014,12428.2922
5392,54,11092.5014,12257.3852
5490,55,11092.5014,12105.1974
5588,56,10935.7125,11931.2967
5686,57,10852.2720,11837.9939
5784,58,10852.2720,11789.0188
5882,59,10538.9278,11770.9453
5980,60,10415.2480,11701.6651
6078,61,10415.2480,11665.1538
6176,62,10415.2480,11708.5169
6274,63,10415.2480,11658.1109
6372,64,10414.0211,11553.2417
6470,65,10237.6882,11611.5261
6568,66,10015.3209,11492.6122
6666,67,10015.3209,11494.2822
6764,68,9985.9409,11406.2107
6862,69,9908.4869,11366.1347
6960,70,9908.4869,11219.1220
7058,71,9908.4869,11159.4691
7156,72,9683.0136,10995.1485
7254,73,9483.9800,10813.8949
7352,74,9306.4968,10609.5812
7450,75,9306.4968,10582.9844
7548,76,9306.4968,10578.4464
7646,77,9306.4968,10410.0951
7744,78,9306.4968,10210.9537
7842,79,9227.9952,10176.4400
7940,80,9227.9952,10211.3166
8038,81,9164.4142,10210.3572
8136,82,9135.5004,10147.6689
8234,83,9135.5004,10040.2441
8332,84,9048.8897,10084.9818
8430,85,9048.8897,10082.4980
8528,86,8896.2096,10023.6238
8626,87,8804.1697,9845.1690
8724,88,8804.1697,9913.3674
8822,89,8775.1319,9861.0126
8920,90,8775.1319,9804.7938
9018,91,8775.1319,9868.4760
9116,92,8590.4763,9890.1278
9214,93,8590.4763,9839.1026
9312,94,8551.7425,9821.1852
9410,95,8416.3548,9588.7432
9508,96,8416.3548,9286.5328
9606,97,8416.3548,9123.3042
9704,98,8310.3432,8989.8229
9802,99,8055.2504,8999.1166
9900,100,8055.2504,8853.4817
9998,101,8055.2504,8796.5099
10096,102,8002.4199,8720.8461
10194,103,7963.6860,8772.8345
10292,104,7963.6860,8559.8345
10390,105,7824.8658,8586.1054
10488,106,7824.8658,8550.9345
10586,107,7824.8658,8519.5499
10684,108,7811.4838,8432.4075
10782,109,7798.3025,8392.0930
10880,110,7758.5440,8317.7503
10978,111,7758.5440,8196.1166
11076,112,7678.8271,8121.1049
11174,113,7678.8271,8069.6819
11272,114,7512.6715,7967.8889
11370,115,7512.6715,7974.7633
11468,116,7512.6715,8005.5247
11566,117,7388.1928,7970.4328
11664,118,7388.1928,8057.6478
11762,119,7388.1928,8150.9269
11860,120,7388.1928,7933.3121
11958,121,7388.1928,7783.2174
12056,122,7335.8231,7643.2401
12154,123,7322.1742,7618.8362
12252,124,7322.1742,7539.0905
12350,125,7322.1742,7554.4050
12448,126,7268.2235,7610.1427
