avaliacoes,geracao,custo_melhor,custo_medio,custo_pior
100,0,21423.6534,25150.4301,29092.0464
198,1,20532.8725,24122.3665,26763.9107
296,2,20527.8634,23311.7690,25977.6553
394,3,20477.6202,22724.4996,26233.2301
492,4,19934.6130,22331.6609,25301.9544
590,5,19308.1034,22045.0023,25406.4006
688,6,18244.2325,21464.5521,25192.3223
786,7,18244.2325,20788.6263,23338.5504
884,8,17492.1505,20351.9370,23446.8846
982,9,17251.8266,19960.9599,23484.5377
1080,10,17251.8266,19554.1743,22248.8539
1178,11,17251.8266,19131.8283,23089.7777
1276,12,17251.8266,19029.2010,21567.7125
1374,13,17059.5181,18812.9417,22699.3096
1472,14,17001.8086,18560.4798,21731.3919
1570,15,16734.3876,18469.3723,21709.4107
1668,16,16722.0474,18186.9747,20414.7437
1766,17,15630.9524,18004.8003,21334.4091
1864,18,15630.9524,17691.6666,20627.5650
1962,19,15431.5399,17368.5843,20024.5775
2060,20,14952.9724,16979.5348,20189.7569
2158,21,14850.0399,16732.0042,18370.2876
2256,22,14817.4946,16530.9550,18666.2876
2354,23,14033.4193,16418.5739,18898.4120
2452,24,14033.4193,16101.7381,18142.0498
2550,25,14033.4193,15934.4875,19766.8571
2648,26,13875.4132,15530.5966,18110.6826
2746,27,13453.8497,15198.8295,17655.3669
2844,28,13321.8722,15112.7419,17903.8451
2942,29,13239.4758,15109.4341,17752.2245
3040,30,13239.4758,14941.1765,17034.3625
3138,31,13221.8707,14832.0165,18209.5829
3236,32,13221.8707,14597.8943,17113.8877
3334,33,13061.5856,14672.9693,17229.4450
3432,34,12954.0010,14558.9530,17015.4524
3530,35,12868.0320,14483.4500,16742.4391
3628,36,12868.0320,14403.2336,17337.0164
3726,37,12868.0320,14343.3146,15968.3291
3824,38,12563.5512,14335.4039,17428.6261
3922,39,12434.4790,14286.8360,16490.3581
4020,40,12434.4790,14186.7763,16134.7171
4118,41,12401.1691,13993.2280,17395.5187
4216,42,12042.3152,13960.4051,16438.5848
4314,43,12042.3152,13800.4436,16281.3940
4412,44,11940.2730,13703.4964,15739.1611
4510,45,11938.8542,13335.9758,16615.4027
4608,46,11887.5036,13204.8518,15197.7377
4706,47,11647.4077,13319.5906,15352.9051
4804,48,11647.4077,13359.3720,15702.3022
4902,49,11647.4077,13175.9489,15504.3498
5000,50,11575.7918,12886.1211,15180.4444
5098,51,11499.4778,12655.2376,14400.7075
5196,52,11234.0520,12613.4734,15122.3124
5294,53,11092.5014,12428.2922,13815.2233
5392,54,11092.5014,12257.3852,14042.6031
5490,55,11092.5014,12105.1974,14389.2219
5588,56,10935.7125,11931.2967,14010.9784
5686,57,10852.2720,11837.9939,14336.5692
5784,58,10852.2720,11789.0188,14051.0515
5882,59,10538.9278,11770.9453,13329.6695
5980,60,10415.2480,11701.6651,13974.3854
6078,61,10415.2480,11665.1538,14076.7250
6176,62,10415.2480,11708.5169,13136.8520
6274,63,10415.2480,11658.1109,13962.4467
6372,64,10414.0211,11553.2417,13573.7416
6470,65,10237.6882,11611.5261,13697.0734
6568,66,10015.3209,11492.6122,14101.5433
6666,67,10015.3209,11494.2822,13328.5648
6764,68,9985.9409,11406.2107,14042.7750
6862,69,9908.4869,11366.1347,13964.6295
6960,70,9908.4869,11219.1220,12999.8349
7058,71,9908.4869,11159.4691,13340.7631
7156,72,9683.0136,10995.1485,12707.9679
7254,73,9483.9800,10813.8949,12530.0643
7352,74,9306.4968,10609.5812,12516.1721
7450,75,9306.4968,10582.9844,12737.4700
7548,76,9306.4968,10578.4464,13051.2792
7646,77,9306.4968,10410.0951,13517.4569
7744,78,9306.4968,10210.9537,12317.0493
7842,79,9227.9952,10176.4400,12090.1584
7940,80,9227.9952,10211.3166,12002.3649
8038,81,9164.4142,10210.3572,11931.1835
8136,82,9135.5004,10147.6689,12210.6842
8234,83,9135.5004,10040.2441,12927.4143
