avaliacoes,iteracao,custo_melhor,custo_atual
101,0,22748.5381,22748.5381
601,500,21614.9285,22248.0130
1101,1000,20968.4006,22370.2176
1601,1500,20783.9923,22574.4584
2101,2000,20547.3537,21912.2157
2601,2500,20403.3993,23154.1272
3101,3000,20064.6713,23715.4127
3601,3500,18383.8428,23100.9908
4101,4000,18383.8428,24575.6075
4601,4500,18383.8428,24019.8918
5101,5000,18383.8428,24558.9480
5601,5500,18383.8428,23889.9334
6101,6000,18383.8428,23283.8583
6601,6500,18383.8428,25890.5582
7101,7000,18383.8428,23857.8905
7601,7500,18383.8428,22342.1175
8101,8000,18383.8428,24529.7156
8601,8500,18383.8428,25776.7007
9101,9000,18383.8428,25860.0965
9601,9500,18383.8428,21135.9626
10101,10000,18383.8428,25783.9449
10601,10500,18383.8428,24174.4078
11101,11000,18383.8428,21568.9127
11601,11500,18383.8428,25574.2122
12101,12000,18383.8428,22624.9958
12601,12500,18383.8428,20991.7656
13101,13000,18383.8428,26187.3202
13601,13500,18383.8428,23220.9244
14101,14000,18383.8428,23179.7254
14601,14500,18383.8428,24206.2768
15101,15000,18383.8428,24548.6558
15601,15500,18383.8428,20246.0970
16101,16000,18383.8428,25720.2934
16601,16500,18383.8428,23048.7043
17101,17000,18383.8428,20853.1339
17601,17500,18383.8428,22405.9367
18101,18000,18383.8428,23222.2237
18601,18500,18383.8428,22514.7534
19101,19000,18383.8428,24369.6835
19601,19500,18383.8428,24903.3717
20101,20000,18383.8428,23822.4265
20601,20500,18383.8428,22646.2446
21101,21000,18383.8428,21879.9232
21601,21500,18383.8428,23475.5069
22101,22000,18383.8428,21219.5016
22601,22500,18383.8428,22957.6704
23101,23000,18383.8428,23876.1824
23601,23500,18383.8428,26074.1522
24101,24000,18383.8428,21652.8001
24601,24500,18383.8428,25662.8920
25101,25000,18383.8428,24327.4254
25601,25500,18383.8428,23780.1820
26101,26000,18383.8428,27721.0402
26601,26500,18383.8428,24336.8135
27101,27000,18383.8428,26480.6268
27601,27500,18383.8428,22404.2167
28101,28000,18383.8428,24939.6656
28601,28500,18383.8428,25193.9132
29101,29000,18383.8428,24507.5689
29601,29500,18383.8428,23411.3927
30101,30000,18383.8428,21551.4763
30601,30500,18383.8428,23960.6604
31101,31000,18383.8428,22990.9743
31601,31500,17592.3938,22962.4615
32101,32000,17592.3938,26313.8856
32601,32500,17592.3938,24473.9896
33101,33000,17592.3938,23089.5145
33601,33500,17592.3938,23658.2554
34101,34000,17592.3938,22424.2048
34601,34500,17592.3938,23792.8713
35101,35000,17592.3938,25383.1418
35601,35500,17592.3938,23320.1550
36101,36000,17524.2633,22381.8558
36601,36500,17524.2633,22778.6395
37101,37000,17524.2633,22643.2631
37601,37500,17524.2633,23200.5014
38101,38000,17524.2633,24999.2610
38601,38500,17524.2633,23308.6162
39101,39000,17524.2633,22558.2620
39601,39500,17524.2633,24567.3996
40101,40000,17524.2633,23993.2768
40601,40500,17524.2633,23764.7085
41101,41000,17524.2633,24884.0530
41601,41500,17524.2633,24478.2804
42101,42000,17524.2633,20140.3626
42601,42500,17524.2633,23888.4547
43101,43000,17524.2633,23042.1639
43601,43500,17524.2633,23542.7555
44101,44000,17524.2633,24930.2720
44601,44500,17524.2633,22528.6509
45101,45000,17524.2633,23545.3983
45601,45500,17524.2633,22579.5040
46101,46000,17524.2633,23585.4970
46601,46500,17524.2633,22203.4080
47101,47000,17524.2633,22936.9145
47601,47500,17524.2633,21705.3898
48101,48000,17524.2633,23160.2385
48601,48500,17524.2633,21348.7263
49101,49000,17524.2633,22777.9447
49601,49500,17524.2633,21460.8018
50101,50000,17524.2633,21774.3009
50601,50500,17524.2633,20247.7574
51101,51000,17524.2633,22101.2540
51601,51500,17524.2633,24001.3568
52101,52000,17524.2633,20941.1133
52601,52500,17524.2633,20802.8626
53101,53000,17426.0830,24280.1122
53601,53500,17426.0830,22706.2352
54101,54000,17426.0830,24103.7289
54601,54500,17426.0830,20508.2767
55101,55000,17426.0830,21842.1254
55601,55500,17426.0830,22914.9435
56101,56000,17426.0830,20867.7568
56601,56500,17426.0830,21005.6135
57101,57000,17426.0830,22121.2836
57601,57500,17426.0830,23742.5534
58101,58000,17426.0830,23326.0891
58601,58500,17426.0830,22423.9617
59101,59000,17426.0830,22150.4900
59601,59500,17426.0830,21474.4884
60101,60000,17426.0830,22286.5143
60601,60500,17426.0830,22163.2290
61101,61000,17426.0830,24152.7354
61601,61500,17426.0830,24004.2173
62101,62000,17426.0830,23767.5488
62601,62500,17109.0652,20873.1829
63101,63000,17109.0652,19278.7003
63601,63500,17109.0652,21891.4758
64101,64000,17109.0652,21714.9986
64601,64500,17109.0652,25482.8322
65101,65000,17109.0652,22780.2681
65601,65500,17109.0652,23128.0106
66101,66000,17109.0652,24020.3827
66601,66500,17109.0652,20520.9457
67101,67000,17109.0652,21518.0893
67601,67500,17109.0652,22780.7652
68101,68000,17109.0652,21980.2986
68601,68500,17109.0652,22907.2501
69101,69000,17109.0652,22953.0483
69601,69500,17109.0652,21838.4638
70101,70000,17109.0652,25390.8054
70601,70500,17109.0652,22237.7699
71101,71000,17109.0652,21038.5365
71601,71500,17109.0652,22662.0849
72101,72000,17109.0652,21188.2513
72601,72500,17109.0652,21807.1114
73101,73000,17109.0652,20886.3180
