avaliacoes_fim_intervalo,fracao_pioras_aceitas
601,0.778182
1101,0.826241
1601,0.846154
2101,0.834586
2601,0.782443
3101,0.833935
3601,0.803448
4101,0.749104
4601,0.776062
5101,0.815789
5601,0.740614
6101,0.819788
6601,0.835165
7101,0.850909
7601,0.799270
8101,0.807692
8601,0.829181
9101,0.810409
9601,0.829091
10101,0.889286
10601,0.764925
11101,0.793478
11601,0.800676
12101,0.846154
12601,0.818182
13101,0.773050
13601,0.818505
14101,0.754647
14601,0.820144
15101,0.821168
15601,0.780220
16101,0.821918
16601,0.749117
17101,0.800000
17601,0.770909
18101,0.750890
18601,0.818841
19101,0.780919
19601,0.790614
20101,0.756458
20601,0.786477
21101,0.757679
21601,0.798635
22101,0.789855
22601,0.787004
23101,0.788321
23601,0.826568
24101,0.752688
24601,0.824627
25101,0.801498
25601,0.728223
26101,0.761404
26601,0.702128
27101,0.777003
27601,0.756098
28101,0.796364
28601,0.750890
29101,0.742373
29601,0.769231
30101,0.770073
30601,0.756849
31101,0.782288
31601,0.760563
32101,0.773852
32601,0.745520
33101,0.791519
33601,0.722603
34101,0.732639
34601,0.800687
35101,0.770318
35601,0.723404
36101,0.682927
36601,0.748252
37101,0.743151
37601,0.748201
38101,0.735192
38601,0.742958
39101,0.722222
39601,0.746667
40101,0.798611
40601,0.767025
41101,0.716216
41601,0.734694
42101,0.679443
42601,0.733564
43101,0.735915
43601,0.697987
44101,0.714286
44601,0.756364
45101,0.698246
45601,0.685430
46101,0.718412
46601,0.678571
47101,0.681672
47601,0.720690
48101,0.774306
48601,0.717241
49101,0.724382
49601,0.774086
50101,0.679868
50601,0.748322
51101,0.735099
51601,0.670068
52101,0.671329
52601,0.667763
53101,0.681063
53601,0.722034
54101,0.704626
54601,0.734982
55101,0.689320
55601,0.696970
56101,0.750877
56601,0.649007
57101,0.695502
57601,0.713805
58101,0.656566
58601,0.671280
59101,0.639073
59601,0.728814
60101,0.617363
60601,0.687075
61101,0.675768
61601,0.693603
62101,0.697917
62601,0.648208
63101,0.678930
63601,0.728522
64101,0.660194
64601,0.698305
65101,0.714286
65601,0.679868
66101,0.636364
66601,0.671186
67101,0.677966
67601,0.653061
68101,0.708475
68601,0.625000
69101,0.682848
69601,0.662252
70101,0.757679
70601,0.646048
71101,0.687500
71601,0.684932
72101,0.574132
72601,0.639498
73101,0.608563
73601,0.615385
74101,0.614148
74601,0.720395
75101,0.644518
75601,0.665595
76101,0.605351
76601,0.643791
77101,0.640000
77601,0.593060
78101,0.620130
78601,0.647249
79101,0.642140
79601,0.626623
80101,0.569132
80601,0.628763
81101,0.640264
81601,0.633758
82101,0.591772
82601,0.595395
83101,0.594771
83601,0.613861
84101,0.635514
84601,0.641026
85101,0.614650
85601,0.570968
86101,0.596154
86601,0.636364
87101,0.690476
87601,0.642140
88101,0.620000
88601,0.557994
89101,0.568254
89601,0.590164
90101,0.617363
90601,0.573209
91101,0.630094
91601,0.563077
92101,0.575000
92601,0.558360
93101,0.584158
93601,0.559375
94101,0.641196
94601,0.531447
95101,0.638298
95601,0.606154
96101,0.504505
96601,0.515432
97101,0.508982
97601,0.629747
98101,0.604502
98601,0.542763
99101,0.588050
99601,0.605863
100101,0.556923
100601,0.572308
101101,0.591503
101601,0.498433
102101,0.615152
102601,0.542683
103101,0.603774
103601,0.577508
104101,0.551515
104601,0.545994
105101,0.571006
105601,0.513595
106101,0.541284
106601,0.514563
107101,0.507987
107601,0.500000
108101,0.512658
108601,0.531157
109101,0.573668
109601,0.541284
110101,0.553191
110601,0.522013
111101,0.534535
111601,0.514019
112101,0.538690
112601,0.551205
113101,0.539157
113601,0.506061
114101,0.429412
114601,0.483384
115101,0.478659
115601,0.428571
116101,0.436578
116601,0.533742
117101,0.511905
117601,0.505988
118101,0.480597
118601,0.492669
119101,0.451039
119601,0.546269
120101,0.549689
120601,0.426901
121101,0.444767
121601,0.486647
122101,0.518841
122601,0.485380
123101,0.492537
123601,0.479290
124101,0.541916
124601,0.424855
125101,0.455357
125601,0.489362
126101,0.463855
126601,0.469388
127101,0.475645
127601,0.464072
128101,0.538244
128601,0.471976
129101,0.476331
129601,0.513433
130101,0.525526
130601,0.452663
131101,0.456716
131601,0.434783
132101,0.495413
132601,0.496894
133101,0.418605
133601,0.527439
134101,0.401130
134601,0.422969
135101,0.402899
135601,0.365439
136101,0.396122
136601,0.410920
137101,0.445355
137601,0.532934
138101,0.447293
138601,0.411268
139101,0.447977
139601,0.395415
140101,0.417614
140601,0.447059
141101,0.402235
141601,0.376022
142101,0.403270
142601,0.420455
143101,0.387187
