cidades,algoritmo,execucoes,custo_final_medio,diferenca_media,desvio_diferenca,melhor_diferenca,pior_diferenca,vitorias,avaliacoes_medias,tempo_medio_s,avaliacoes_por_s
20,tempera,10,3923.5076,-0.170493,0.067638,-0.287360,-0.080346,3,188101.0,1.6978,110794.0
20,ag,10,3963.3791,-0.162097,0.078827,-0.287360,-0.041144,4,28588.6,2.8426,10057.1
50,tempera,10,5711.6301,-0.172050,0.047203,-0.244830,-0.106907,9,470101.0,4.3341,108464.9
50,ag,10,6021.2061,-0.125211,0.085743,-0.217893,0.063187,1,60281.8,6.0229,10008.7
100,tempera,10,7950.2651,-0.170963,0.052485,-0.242821,-0.075316,10,940101.0,8.7209,107798.6
100,ag,10,8550.5145,-0.108584,0.054672,-0.175478,-0.014710,0,152784.0,15.6448,9765.8
