avaliacoes,geracao,custo_melhor,custo_medio,custo_pior
100,0,44894.5635,51070.9244,56911.2371
198,1,41759.6006,49361.7931,53709.3069
296,2,41759.6006,48163.3668,52136.1177
394,3,41759.6006,46948.8697,50818.6609
492,4,41759.6006,46018.0291,50552.9338
590,5,40396.4649,44982.8961,49109.0429
688,6,40396.4649,44342.0137,49745.2290
786,7,39000.7580,43405.5250,47130.4068
884,8,37662.8178,42705.9694,48212.0023
982,9,37662.8178,41694.4636,46065.8136
1080,10,37662.8178,40962.9077,44620.2444
1178,11,37662.8178,40449.2123,43839.8378
1276,12,37072.6575,39891.8284,43445.0690
1374,13,36243.9983,39372.8664,43775.3110
1472,14,36034.1951,38777.0500,41453.9581
1570,15,36034.1951,38336.4213,40924.4235
1668,16,35548.9349,37722.5563,39801.6025
1766,17,34876.1894,37535.6724,42189.4124
1864,18,34876.1894,37191.5270,40092.1317
1962,19,33810.9016,36742.8071,40192.6372
2060,20,33423.4047,36388.1312,39299.7326
2158,21,33153.1569,36219.2122,39552.2589
2256,22,33153.1569,35707.8622,39025.4260
2354,23,32567.7382,35463.9980,38420.1297
2452,24,32264.7935,35382.3238,39536.2987
2550,25,31885.2819,35103.4964,38547.2527
2648,26,31885.2819,34774.9616,38935.7839
2746,27,31885.2819,34617.0265,38658.0151
2844,28,31885.2819,34564.2828,39346.4847
2942,29,31429.8375,34276.2980,38791.6777
3040,30,31429.8375,33981.7525,36947.7442
3138,31,31429.8375,33938.2828,38529.1786
3236,32,31429.8375,33888.1095,37281.0197
3334,33,30767.7471,33789.9637,37201.1557
3432,34,30720.5679,33468.1320,38057.2761
3530,35,30351.7356,33262.8765,35883.5367
3628,36,30351.7356,33087.7813,36402.6766
3726,37,30351.7356,33087.2179,36300.7062
3824,38,30351.7356,32952.9693,36619.7265
3922,39,29910.2318,32684.2622,37283.0240
4020,40,29910.2318,32496.4915,35733.7367
4118,41,29883.0770,32072.3452,34473.5646
4216,42,29817.2640,31913.3378,34888.3643
4314,43,28975.3818,31806.1630,35489.5364
4412,44,28975.3818,31766.1138,34555.3569
4510,45,28924.0413,31575.1832,36294.0945
4608,46,28770.5084,31312.1969,34533.4460
4706,47,28770.5084,31194.5835,35395.3846
4804,48,28770.5084,31112.9564,35167.4057
4902,49,28300.9190,30773.9988,34037.3909
5000,50,28300.9190,30796.4766,34341.8215
5098,51,28300.9190,30648.4373,34275.3831
5196,52,28300.9190,30455.5213,34611.2356
5294,53,28300.9190,30196.9915,34475.3976
5392,54,28300.9190,30011.2510,33411.0132
5490,55,28043.8851,29862.9211,33295.1379
5588,56,27918.9276,29716.5167,33587.6065
5686,57,27918.9276,29654.5832,32859.1403
5784,58,27918.9276,29435.3014,31690.9752
5882,59,27405.6094,29200.0220,32327.7875
5980,60,26930.4247,29079.4198,31054.3295
6078,61,26930.4247,29048.4761,32147.4690
6176,62,26930.4247,29086.9731,31608.2799
6274,63,26611.6808,28887.1588,31508.4877
6372,64,26413.2706,28658.6440,32647.7159
6470,65,26403.7270,28684.8185,31872.4393
6568,66,25563.8835,28571.4188,31632.5242
6666,67,25563.8835,28194.8490,30893.8557
6764,68,25263.4175,27901.6749,31085.0749
6862,69,25025.7048,27742.8037,31277.1120
6960,70,25025.7048,27766.6515,30738.3550
7058,71,25009.3276,27501.5664,31197.4778
7156,72,25009.3276,27203.7000,30496.9388
7254,73,24835.4953,27167.2707,30646.0260
7352,74,24835.4953,27027.6622,30298.5123
7450,75,24835.4953,26619.0736,29974.3579
7548,76,24725.3901,26487.3631,30180.6922
7646,77,24725.3901,26210.8777,28277.1857
7744,78,23706.3303,25977.9965,28525.8865
7842,79,23258.5258,25967.1092,28366.9850
7940,80,23258.5258,25837.4168,28661.4906
8038,81,23128.6026,25727.0329,28871.2135
8136,82,23128.6026,25684.7003,28137.8490
8234,83,22854.6754,25386.1037,28339.7497
8332,84,22303.2128,25494.1083,28954.1309
8430,85,22303.2128,25217.7165,27588.6122
8528,86,22303.2128,24970.7176,28951.2741
8626,87,22303.2128,24740.2162,28308.0638
8724,88,22303.2128,24541.9047,27265.9970
8822,89,22074.0705,24294.2387,28963.9050
8920,90,22074.0705,24206.7733,27335.0574
9018,91,21971.2613,23915.2043,26452.6448
9116,92,21971.2613,23738.3366,26846.4396
9214,93,21778.6566,23538.8928,25672.8471
9312,94,21778.6566,23502.9194,27241.7004
9410,95,21778.6566,23295.5707,26273.5001
9508,96,21575.5862,23108.7337,25712.5547
9606,97,21499.4809,23161.6146,26195.3446
9704,98,21499.4809,23048.4994,26309.1069
9802,99,21499.4809,23078.0580,25620.1490
9900,100,21499.4809,23219.4659,25659.8624
9998,101,21499.4809,23261.7245,25852.3515
10096,102,21499.4809,23123.4388,25489.0774
10194,103,21393.5170,23096.3349,25554.0829
10292,104,21393.5170,23290.4406,26150.5506
10390,105,21186.6564,23178.0561,25960.8941
10488,106,21186.6564,23098.5445,26938.1065
10586,107,21186.6564,22904.4715,25180.8207
10684,108,21186.6564,22705.7055,24786.4417
10782,109,21186.6564,22797.9045,25906.6880
10880,110,21186.6564,22720.0756,25174.2777
10978,111,20507.3990,22562.4439,25185.6470
11076,112,20507.3990,22325.0841,25203.9638
11174,113,20507.3990,22265.7803,25161.1628
11272,114,20507.3990,22128.9543,24147.1789
11370,115,20507.3990,22051.0290,24629.4921
11468,116,20490.8189,21960.3436,23865.4836
11566,117,20468.6214,21937.6861,26084.8681
11664,118,20435.8812,21641.2469,23542.5152
11762,119,20316.3301,21830.9486,25181.1367
11860,120,20316.3301,21662.8449,23657.5562
11958,121,20316.3301,21497.6799,23994.9597
12056,122,20140.3670,21311.3933,23801.8664
12154,123,20123.7868,21170.1651,23528.8123
12252,124,20047.6435,20985.0762,23225.1239
12350,125,19953.9206,20982.2330,23675.0163
12448,126,19953.9206,21131.5153,23588.7238
12546,127,19953.9206,21173.8823,23209.1479
12644,128,19824.2648,21100.1972,23695.1460
12742,129,19824.2648,20990.4368,23576.5752
12840,130,19753.5788,21043.8442,23284.2892
12938,131,19634.2501,20960.7525,23246.9143
13036,132,19634.2501,21100.0932,23726.2168
13134,133,19634.2501,21092.2126,23915.8803
13232,134,19634.2501,20861.4933,23457.8311
13330,135,19620.2902,20884.6424,23431.3627
13428,136,19620.2902,20809.8732,23046.3726
13526,137,19620.2902,20748.4088,23065.5571
13624,138,19419.3309,20714.9382,22748.4274
13722,139,19419.3309,20674.3544,22423.3385
13820,140,19384.9869,20727.0554,24180.8903
13918,141,19280.9430,20677.4995,23117.4006
14016,142,19280.9430,20450.0909,23288.3357
14114,143,19172.2484,20458.9501,23163.9109
14212,144,19130.6360,20384.5624,22156.0925
14310,145,19130.6360,20254.2050,22234.9445
14408,146,18922.1321,20124.4008,22809.5718
14506,147,18922.1321,20065.5708,22834.0009
14604,148,18922.1321,20045.7499,22247.3438
14702,149,18767.1087,20128.1588,22257.4343
14800,150,18767.1087,20255.5925,22476.4059
14898,151,18767.1087,20218.9128,22855.3142
14996,152,18767.1087,20157.0429,22676.3842
15094,153,18614.9213,20082.1426,23144.5029
15192,154,18541.1288,20001.8984,22018.8955
15290,155,18541.1288,19967.1412,21894.5906
15388,156,18218.4604,20020.8587,22503.5800
15486,157,18218.4604,20159.1170,22616.0456
15584,158,18218.4604,20119.3970,22229.2510
15682,159,18218.4604,20070.9669,23045.6697
15780,160,18218.4604,20197.5996,22934.0119
15878,161,18218.4604,20211.4354,22528.8075
15976,162,18170.7987,20137.6667,22322.7646
16074,163,18170.7987,19931.6177,22394.6884
16172,164,18170.7987,19936.8407,23053.3000
16270,165,18170.7987,19529.7267,23095.6376
16368,166,18170.7987,19509.4224,22980.2066
16466,167,18098.6628,19358.6827,22259.7639
16564,168,17905.3115,19389.6271,22095.3867
16662,169,17905.3115,19203.2888,21707.4604
16760,170,17793.9130,19058.5046,21353.5599
16858,171,17793.9130,18897.6029,20803.3069
16956,172,17793.9130,18832.9070,20480.2062
17054,173,17793.9130,18993.5003,21330.2211
17152,174,17642.5117,18723.2040,21003.9902
17250,175,17642.5117,18686.3377,21238.1594
17348,176,17528.4258,18600.5701,20912.3685
17446,177,17425.1550,18627.8963,20390.9829
17544,178,17425.1550,18779.3355,20255.9075
17642,179,17425.1550,18795.0051,21280.5395
17740,180,17258.6124,18728.6433,20923.2120
17838,181,17258.6124,18792.3695,21423.2097
17936,182,17136.1337,18803.1060,20534.7385
18034,183,16874.1164,18944.9020,21351.4971
18132,184,16874.1164,18925.4506,22313.1402
18230,185,16741.7242,18740.3696,21813.8882
18328,186,16741.7242,18629.0083,22033.8869
18426,187,16741.7242,18292.6137,20902.5264
18524,188,16741.7242,18210.9886,20641.4161
18622,189,16741.7242,18280.9626,21243.3819
18720,190,16741.7242,18264.8992,21630.3767
18818,191,16716.7560,18281.9222,20565.5480
18916,192,16716.7560,18220.2412,21211.5548
19014,193,16716.7560,18077.1836,20797.0619
19112,194,16705.4786,17994.5200,20225.9635
19210,195,16705.4786,18059.6036,20149.4535
